Rum Name,Rum Type,Speed Code
Ballast Point Three Sheets Aged,Pot Still Lightly Aged,1
Diablos Shadow Navy Strength,Pot Still Lightly Aged,1
House Spirits Aged Rum,Pot Still Lightly Aged,1
Journeyman Roads End Organic Rum,Pot Still Lightly Aged,1
Maggies Farm Queen's Share,Pot Still Lightly Aged,1
Montanya Oro and Platino,Pot Still Lightly Aged,1
Pritchard's Fine,Pot Still Lightly Aged,1
Privateer Amber,Pot Still Lightly Aged,1
Ragged Mountain,Pot Still Lightly Aged,1
Richland Georgia,Pot Still Lightly Aged,1
Rum Society #65,Pot Still Lightly Aged,1
Smith and Cross Overproof,Pot Still Lightly Aged,1
Sun Rum Barrel Aged,Pot Still Lightly Aged,1
Thomas Tew Single Barrel,Pot Still Lightly Aged,1
Appleton Estate Signature Blend,Blended Lightly Aged,2
Banks 5 Island and 7 Island,Blended Lightly Aged,2
Cartavio Selecto 5,Blended Lightly Aged,2
Chariman's Reserve Silver (St. Lucia),Blended Lightly Aged,2
Denizen,Blended Lightly Aged,2
Diplomatico Anejo and Blanco,Blended Lightly Aged,2
El Dorado 3 year (Guyana),Blended Lightly Aged,2
Mount Gay Rum (Barbados),Blended Lightly Aged,2
Plantation 3 Star,Blended Lightly Aged,2
Real McCoy 3 year,Blended Lightly Aged,2
Santa Teresa Claro,Blended Lightly Aged,2
Appleton Estate Reserve Blend and Rare Blend 12 year,Blended Age,3
Cadenhead Green Label,Blended Age,3
Cartavio Selecto 12 and 18,Blended Age,3
Chairman's Reserve and Forgotten Casks,Blended Age,3
Cockspur 12,Blended Age,3
Denizen Merchant's Reserve,Blended Age,3
Diplomatico Reserva nad Reserva Exclusiva,Blended Age,3
Doorly's 5 year 12 year and XO,Blended Age,3
Dos Maderas 5+3 and 5+5,Blended Age,3
"El Dorado 5 year, 8 year, and 12 year",Blended Age,3
Kaniche XO,Blended Age,3
Mount Gay Black Barrel and XO,Blended Age,3
Plantation 5 year Grand Reserve and 20th anniversary,Blended Age,3
Providencia,Blended Age,3
Pusser's,Blended Age,3
Real McCoy 5 year and 12 year,Blended Age,3
RL Seale 9 year port cask finish and 10 year,Blended Age,3
Admiral Rodney,Column Still Aged,4
"Angostura 1824, 1919, 5 year, 7 year",Column Still Aged,4
Barcadi 8 and Reserva Limitada,Column Still Aged,4
Brugal 1888 and Extra Viejo,Column Still Aged,4
Cana Brava 7 year,Column Still Aged,4
Cruzan Single Varrel,Column Still Aged,4
Don Pancho Origines 8,Column Still Aged,4
Don Q Anejo and Gran Anejo,Column Still Aged,4
Eldorado Single Barrel EHP and Single Barrel ICBU,Column Still Aged,4
English Harbour and 5 and 10,Column Still Aged,4
Facundo Eximo Exquisto and Paraiso,Column Still Aged,4
Flor de Cana 12,Column Still Aged,4
Kirk and Sweeney 12 18 and 23,Column Still Aged,4
"Ron Abuelo 12, 7 and Centuria",Column Still Aged,4
Ron Botran Reserva and Solera,Column Still Aged,4
"Ron Ceneario 9, 12, 20, and 25",Column Still Aged,4
Ron Del Barrilito 3 star,Column Still Aged,4
Ron Matusalem 15,Column Still Aged,4
Trigo,Column Still Aged,4
Westerhall Plantation,Column Still Aged,4
Zacapa 23 and XO,Column Still Aged,4
Zafra,Column Still Aged,4
Coruba,Black Blended,5
Goslings Black Seal,Black Blended,5
Hamilton Guyana 86,Black Blended,5
Hokhala Bay,Black Blended,5
Lemon Hart 80,Black Blended,5
Pampero Anniversario,Black Blended,5
Newfoundland Screech,Black Blended,5
Blackwells Black Gold,Black Blended,5
Skipper Finest Old Demerara,Black Blended,5
Hamilton Guyana 15q,Black Blended Overproof,6
Lemon Hart 151,Black Blended Overproof,6
Plantation OFTD,Black Blended Overproof,6
Hamilton Jamaica Black,Black Pot Still,
Clement Premiere Canne and Canne Bleue,Cane AOC Martinique Rhum Agricole Blanc,7
La Favorite Blanc,Cane AOC Martinique Rhum Agricole Blanc,7
"Neisson Blanc, Le Rhum, and L'Esprit Overproof",Cane AOC Martinique Rhum Agricole Blanc,7
Rhum JM White 100 Proof,Cane AOC Martinique Rhum Agricole Blanc,7
Clement VSOP 6 Year Tres Vieux and 10 year tres vieux,Cane AOC Martinique Rhum Agricole Vieux,8
Duquesne Eleve sous bois,Cane AOC Martinique Rhum Agricole Vieux,9
la favorite coeur de ambre and vieux,Cane AOC Martinique Rhum Agricole Vieux,10
neisson eleve sous bois and reserve speciale,Cane AOC Martinique Rhum Agricole Vieux,11
rhum JMESB gold and BSP,Cane AOC Martinique Rhum Agricole Vieux,12
wray and nephew,pot still unaged,
pritchards crystal,pot still unaged,
Privateer silver reserve,pot still unaged,
owney's new york,pot still unaged,
hamilton jamaica gold,pot still unaged,
sammy's beach bar rum,pot still unaged,
